epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,907.953,1.30014,2.79764,1.25227,0.48315,0.39035,0.37441,0.24985,1.17806,1.93457,1.17306,0.000206876,0.000206876,0.000206876
2,1757.94,1.2612,1.83516,1.24485,0.61565,0.45919,0.48254,0.3115,1.19297,1.63036,1.18764,0.000374104,0.000374104,0.000374104
3,2622.54,1.24931,1.69612,1.23785,0.52908,0.4883,0.49579,0.32113,1.19289,1.62047,1.18762,0.000500082,0.000500082,0.000500082
4,3506.22,1.23123,1.59376,1.23296,0.50867,0.54135,0.524,0.34591,1.17344,1.54344,1.18853,0.000439375,0.000439375,0.000439375
5,4392.13,1.19639,1.49903,1.20457,0.64627,0.52721,0.55703,0.37174,1.1381,1.42946,1.14902,0.0003775,0.0003775,0.0003775
6,5302.09,1.17328,1.41722,1.18975,0.58163,0.54572,0.56786,0.38704,1.12458,1.35372,1.14501,0.000315625,0.000315625,0.000315625
7,6149.93,1.14183,1.341,1.16606,0.58114,0.6333,0.60279,0.41347,1.1253,1.30107,1.13581,0.00025375,0.00025375,0.00025375
8,6976.7,1.11417,1.27531,1.14833,0.66929,0.61403,0.65125,0.45091,1.09398,1.26556,1.12206,0.000191875,0.000191875,0.000191875
9,7805.85,1.09585,1.21829,1.13211,0.68743,0.6131,0.65357,0.45327,1.09157,1.22936,1.11943,0.00013,0.00013,0.00013
10,8634.24,1.08011,1.17872,1.12514,0.69987,0.60616,0.6599,0.46409,1.07353,1.19826,1.10901,6.8125e-05,6.8125e-05,6.8125e-05
